LanguageID,LanguageName,BookmarkName,Translation,TranslationName
1,English (UK),bmkAttendingLabel,"Attending",AttendingLabel
2,French,bmkAttendingLabel,"Présents",AttendingLabel
3,Slovak,bmkAttendingLabel,"Účastník",AttendingLabel
4,Italian,bmkAttendingLabel,"Partecipanti",AttendingLabel
5,Polish,bmkAttendingLabel,"Uczestnicy",AttendingLabel
6,German,bmkAttendingLabel,"Teilnehmer",AttendingLabel
7,Dutch (Belgium),bmkAttendingLabel,"Aanwezig",AttendingLabel
8,French (Belgium),bmkAttendingLabel,"Présent",AttendingLabel
9,Czech,bmkAttendingLabel,"Účast",AttendingLabel
11,Hungarian,bmkAttendingLabel,"Megjelentek",AttendingLabel
12,Spanish,bmkAttendingLabel,"Asistentes",AttendingLabel
13,Russian,bmkAttendingLabel,"Присутствующий",AttendingLabel
14,English (US),bmkAttendingLabel,"Attending",AttendingLabel
15,English (AUS),bmkAttendingLabel,"Attending",AttendingLabel
16,Greek,bmkAttendingLabel,"Συμμετέχοντες ",AttendingLabel
17,Portuguese (Brazil),bmkAttendingLabel,"Participante(s)",AttendingLabel
18,Turkish,bmkAttendingLabel,"Katılımcı",AttendingLabel
19,Vietnamese,bmkAttendingLabel,"Những người tham gia vụ việc",AttendingLabel
1,English (UK),bmkAuthorEmailLabel,"Email",AuthorEmailLabel
6,German,bmkAuthorEmailLabel,"Email",AuthorEmailLabel
7,Dutch (Belgium),bmkAuthorEmailLabel,"E-mail",AuthorEmailLabel
8,French (Belgium),bmkAuthorEmailLabel,"Email",AuthorEmailLabel
10,Dutch,bmkAuthorEmailLabel,"E-mail",AuthorEmailLabel
1,English (UK),bmkAuthorFaxLabel,"Personal fax",AuthorFaxLabel
2,French,bmkAuthorFaxLabel,"Télécopie directe",AuthorFaxLabel
3,Slovak,bmkAuthorFaxLabel,"Osobný fax",AuthorFaxLabel
4,Italian,bmkAuthorFaxLabel,"Fax Personale",AuthorFaxLabel
5,Polish,bmkAuthorFaxLabel,"Faks bezp",AuthorFaxLabel
6,German,bmkAuthorFaxLabel,"Direktes Fax",AuthorFaxLabel
7,Dutch (Belgium),bmkAuthorFaxLabel,"Fax",AuthorFaxLabel
